auxcosp,descr,unidad,grupplat
1.5679322,***STOLICHNAYA ELIT COPA,COPA,B0
11.3290298,***CAZADORES AÑEJO COPA,COPA,B0
17.4005612,***CAZADORES BLANCO COPA,COPA,B0
19.8310575,CAZADORES REPOSADO COPA,COPA,B0
11.9687683,***CENTENARIO AÑEJO COPA,COPA,B0
21.5561862,CENTENARIO AZUL COPA,COPA,B0
21.6291713,CENTENARIO REPOSADO COPA,COPA,B0
11.0333564,***CENTENARIO ROSANGEL COPA,COPA,B0
37.6067415,CUERVO 1800 AÑEJO COPA,COPA,B8
11.0333564,***CUERVO 1800 PLATA COPA,COPA,B0
24.0836095,***CUERVO 1800 REPOSADO COPA,COPA,B0
23.6209098,CUERVO TRADICIONAL REP COPA,COPA,B8
112.3946764,DON JULIO 1942 COPA,COPA,B8
39.4411215,DON JULIO AÑEJO COPA,COPA,B8
30.1907164,DON JULIO BLANCO COPA,COPA,B8
32.8035831,DON JULIO REPOSADO COPA,COPA,B8
26.866567,HERRADURA AÑEJO COPA,COPA,B0
31.3680564,HERRADURA BLANCO COPA,COPA,B8
37.4419077,HERRADURA REPOSADO,COPA,B8
24.5021978,***MAESTRO T BLANCO,COPA,B0
32.6281724,***MAESTRO T REPOSADO,COPA,B0
11.0333564,***PATRON AÑEJO COPA,COPA,B0
37.6981806,***PATRON BLANCO COPA,COPA,B0
55.5541834,***PATRON REPOSADO COPA,COPA,B0
124.6571283,RESERVA DE LA FAMILIA COPA,COPA,B8
29.1673698,***TRES GENERACIONES COPA,COPA,B0
42.5770769,DANZANTES JOVEN,COPA,B9
72.0171688,DANZANTES REPOSADO,COPA,B9
10.2581399,BUCHANANS RED SEAL COPA,COPA,B10
37.3332318,BUCHANANS 12 COPA,COPA,B10
49.748768,BUCHANANS MASTER COPA,COPA,B10
78.9692718,BUCHANANS 18 COPA,COPA,B10
39.8638893,CHIVAS REAGAL 12 COPA,COPA,B10
77.1815769,CHIVAS REAGAL 18 COPA,COPA,B10
0.770005,***DEWARS WHITE LABEL COPA,COPA,B0
0.770005,***DEWARS 12 COPA,COPA,B0
0.770005,***DEWARS 18 COPA,COPA,B0
41.9542999,GENTLEMAN JACK COPA,COPA,B10
39.667805,***GLENNFIDICH 12 COPA,COPA,B0
20.9058718,JB COPA,COPA,B10
42.8194599,JW BLACK LABEL COPA,COPA,B10
212.407448,JW BLUE LABEL COPA,COPA,B10
63.667008,JW GOLD LABEL COPA,COPA,B10
22.2785688,JW RED LABEL COPA,COPA,B10
30.295525,JACK DANIELS COPA,COPA,B10
26.9868599,JAMESON COPA,COPA,B10
67.3971548,MACALLAN 12 COPA,COPA,B10
39.2263799,OLD PARR COPA,COPA,B10
37.1277751,***ABSINTH COPA,COPA,B0
